TITULO,AÑO,DURACION (min),GENERO,DIRECCION,GUION,PROTAGONISTA,PAIS,NOTA,VOTOS
Magia a la luz de la luna,2014,97,Comedia,Woody Allen,Woody Allen,Emma Stone,Estados Unidos,6.1,18348
Magic - El muñeco diabólico,1978,106,Terror,Richard Attenborough,Richard Attenborough,Anthony Hopkins,Estados Unidos,6.0,1513
Magical Girl,2014,127,Drama,Carlos Vermut,Carlos Vermut,Luis Bermejo,España,7.1,25877
Magnolia,1999,188,Drama,Paul Thomas Anderson,Paul Thomas Anderson,Tom Cruise,Estados Unidos,7.6,48639
Magnolias de acero,1989,118,Drama,Herbert Ross,Herbert Ross,Sally Field,Estados Unidos,6.4,5755
Maixabel,2021,115,Drama,Icíar Bollaín,Icíar Bollaín,Blanca Portillo,España,7.2,13483
Maktub,2011,113,Comedia,Paco Arango,Paco Arango,Mia Wasikowska,Australia,6.2,3790
Mal día para pescar,2009,100,Drama,Álvaro Brechner,Álvaro Brechner,Gary Piquer,Uruguay,6.5,2016
Mal genio,2017,102,Drama,Michel Hazanavicius,Michel Hazanavicius,Louis Garrel,Francia,5.9,1263
Mal gusto (Bad Taste),1987,91,Ciencia ficción,Peter Jackson,Peter Jackson,Terry Potter,Nueva Zelanda,5.9,8402
Mala hierba,2018,100,Comedia,Kheiron,Kheiron,Kheiron,Francia,6.7,2543
Mala sangre,1986,114,Romance,Leos Carax,Leos Carax,Denis Lavant,Francia,6.9,2855
Malas calles,1973,110,Drama,Martin Scorsese,Martin Scorsese,Woody Allen,Estados Unidos,6.8,18015
Malas influencias,1990,100,Intriga,Curtis Hanson,Curtis Hanson,Rob Lowe,Estados Unidos,5.8,1975
Malas temporadas,2005,112,Drama,Manuel Martín Cuenca,Manuel Martín Cuenca,Javier Cámara,España,6.1,2396
Malas tierras,1973,95,Drama,Terrence Malick,Terrence Malick,Bruno Ganz,Alemania del Oeste (RFA),7.3,12509
Malcolm & Marie,2021,106,Drama,Sam Levinson,Sam Levinson,Zendaya,Estados Unidos,6.4,4125
Malcolm X,1992,193,Drama,Spike Lee,Spike Lee,Denzel Washington,Estados Unidos,6.9,10910
Malditos bastardos,2009,146,Bélico,Quentin Tarantino,Quentin Tarantino,Brad Pitt,Estados Unidos,7.8,155744
Mallrats,1995,97,Comedia,Kevin Smith,Kevin Smith,Shannen Doherty,Estados Unidos,6.7,19002
Malos tiempos en El Royale,2018,141,Thriller,Drew Goddard,Drew Goddard,Jeff Bridges,Estados Unidos,6.5,12526
Malèna,2000,100,Drama,Giuseppe Tornatore,Giuseppe Tornatore,Monica Bellucci,Italia,6.6,7100
Maléfica,2014,97,Fantástico,Robert Stromberg,Robert Stromberg,Angelina Jolie,Estados Unidos,6.0,40245
Mambrú se fue a la guerra,1986,98,Comedia,Fernando Fernán Gómez,Fernando Fernán Gómez,Ariane Ascaride,Francia,6.2,1148
Mamma Mia! La película,2008,108,Musical,Phyllida Lloyd,Phyllida Lloyd,Meryl Streep,Reino Unido,5.8,38699
Mamut,2009,125,Drama,Lukas Moodysson,Lukas Moodysson,Angelina Jolie,Estados Unidos,6.1,2222
Mamá cumple 100 años,1979,95,Comedia,Carlos Saura,Carlos Saura,Geraldine Chaplin,España,6.4,2849
Man on the Moon,1999,118,Comedia,Milos Forman,Milos Forman,Jim Carrey,Estados Unidos,6.9,22377
Manchester frente al mar,2016,135,Drama,Kenneth Lonergan,Kenneth Lonergan,Casey Affleck,Estados Unidos,7.1,30176
Mandela. Del mito al hombre,2013,139,Drama,Justin Chadwick,Justin Chadwick,Idris Elba,Sudáfrica,6.3,3701
Manderlay,2005,139,Drama,Lars von Trier,Lars von Trier,Bryce Dallas Howard,Dinamarca,7.3,10063
Manhattan,1979,96,Comedia,Woody Allen,Woody Allen,Woody Allen,Estados Unidos,8.1,54359
Manhattan Sur,1985,136,Thriller,Michael Cimino,Michael Cimino,Mickey Rourke,Estados Unidos,6.7,4321
Manhattan sin salida,2019,99,Thriller,Brian Kirk,Brian Kirk,Chadwick Boseman,Estados Unidos,5.9,3935
Mank,2020,132,Drama,David Fincher,David Fincher,Gary Oldman,Estados Unidos,6.5,11256
Manos de Piedra,2016,105,Drama,Jonathan Jakubowicz,Jonathan Jakubowicz,Edgar Ramirez,Panamá,6.0,1986
Mansfield Park,2000,108,Drama,Patricia Rozema,Patricia Rozema,Frances O'Connor,Reino Unido,6.1,1388
Mantícora,2022,115,Drama,Carlos Vermut,Carlos Vermut,Nacho Sánchez,España,7.1,6778
Manuale d'amore,2005,116,Comedia,Giovanni Veronesi,Giovanni Veronesi,Michael Douglas,Estados Unidos,6.2,12061
Maps to the Stars,2014,111,Drama,David Cronenberg,David Cronenberg,Julianne Moore,Canadá,6.0,8743
"Maquia, una historia de amor inmortal",2018,115,Animación,Mari Okada,Mari Okada, ,Japón,6.5,1051
Mar adentro,2004,125,Drama,Alejandro Amenábar,Alejandro Amenábar,Javier Bardem,España,7.2,101670
Marathon Man,1976,125,Intriga,John Schlesinger,John Schlesinger,Dustin Hoffman,Estados Unidos,7.1,10610
Marea negra,2016,107,Acción,Peter Berg,Peter Berg,Mark Wahlberg,Estados Unidos,6.0,9140
Marea roja,1995,112,Thriller,Tony Scott,Tony Scott,Gene Hackman,Estados Unidos,6.7,15918
Margaret,2011,150,Drama,Kenneth Lonergan,Kenneth Lonergan,Anna Paquin,Estados Unidos,5.9,1989
Margin Call,2011,109,Drama,J.C. Chandor,J.C. Chandor,Kevin Spacey,Estados Unidos,6.6,20956
Maridos y mujeres,1992,107,Comedia,Woody Allen,Woody Allen,Woody Allen,Estados Unidos,7.5,15672
Marius y Jeannette (Un amor en Marsella),1997,105,Drama,Robert Guédiguian,Robert Guédiguian,Gérard Meylan,Francia,7.1,1490
Marshall,2017,118,Drama,Reginald Hudlin,Reginald Hudlin,Chadwick Boseman,Estados Unidos,6.4,1339
Marte (The Martian),2015,142,Ciencia ficción,Ridley Scott,Ridley Scott,Matt Damon,Estados Unidos,7.0,65432
Martha Marcy May Marlene,2011,102,Drama,Sean Durkin,Sean Durkin,Elizabeth Olsen,Estados Unidos,6.4,8481
Martin,1977,95,Terror,George A. Romero,George A. Romero,John Amplas,Estados Unidos,6.2,1245
Martin Eden,2019,129,Drama,Pietro Marcello,Pietro Marcello,Luca Marinelli,Italia,6.9,3063
Martyrs (Mártires),2008,97,Terror,Pascal Laugier,Pascal Laugier,Mylène Jampanoï,Francia,6.4,11162
Martín (Hache),1997,134,Drama,Adolfo Aristarain,Adolfo Aristarain,Federico Luppi,Argentina,7.5,48611
Mary Shelley,2017,115,Drama,Haifaa Al-Mansour,Haifaa Al-Mansour,Elle Fanning,Reino Unido,6.2,4035
Mary y la flor de la bruja,2017,103,Animación,Hiromasa Yonebayashi,Hiromasa Yonebayashi, ,Japón,6.3,1997
María (y los demás),2016,96,Drama,Nely Reguera,Nely Reguera,Bárbara Lennie,España,6.3,4659
María Antonieta,2006,124,Drama,Sofia Coppola,Sofia Coppola,Kirsten Dunst,Estados Unidos,6.0,21486
"María, llena eres de gracia",2004,101,Drama,Joshua Marston,Joshua Marston,Catalina Sandino Moreno,Colombia,7.0,15480
"María, reina de Escocia",2018,124,Drama,Josie Rourke,Josie Rourke,Saoirse Ronan,Reino Unido,6.0,5463
Masacre. Ven y mira,1985,136,Bélico,Elem Klimov,Elem Klimov,Alexei Kravchenko,Unión Soviética (URSS),7.8,7498
Mass,2021,110,Drama,Fran Kranz,Fran Kranz,Jason Isaacs,Estados Unidos,7.0,2506
Master and Commander: Al otro lado del mundo,2003,137,Aventuras,Peter Weir,Peter Weir,Russell Crowe,Estados Unidos,7.0,59137
Mata al irlandés,2011,102,Acción,Jonathan Hensleigh,Jonathan Hensleigh,Ray Stevenson,Estados Unidos,6.3,5048
Matadero cinco,1972,104,Ciencia ficción,George Roy Hill,George Roy Hill,Michael Sacks,Estados Unidos,6.0,1210
Mataharis,2007,91,Drama,Icíar Bollaín,Icíar Bollaín,Najwa Nimri,España,6.3,6585
Matando Cabos,2004,93,Thriller,Alejandro Lozano,Alejandro Lozano,Tony Dalton,México,6.8,1724
Matar al mensajero,2014,112,Drama,Michael Cuesta,Michael Cuesta,Jeremy Renner,Estados Unidos,6.2,6607
"Matar o no matar, éste es el problema",1973,102,Terror,Douglas Hickox,Douglas Hickox,Vincent Price,Reino Unido,6.4,1054
Match Point,2005,120,Drama,Woody Allen,Woody Allen,Jonathan Rhys Meyers,Reino Unido,7.7,120783
Matilda,1996,98,Comedia,Danny DeVito,Danny DeVito,Mara Wilson,Estados Unidos,5.9,30611
"Matilda, de Roald Dahl: El musical",2022,117,Musical,Matthew Warchus,Matthew Warchus,Alisha Weir,Reino Unido,5.9,1412
Matinee,1993,97,Comedia,Joe Dante,Joe Dante,John Goodman,Estados Unidos,6.0,1834
Matrimonio de conveniencia,1990,108,Romance,Peter Weir,Peter Weir,Gérard Depardieu,Estados Unidos,5.9,9129
Matrix,1999,131,Ciencia ficción,Lilly Wachowski,"Lilly Wachowski,",Keanu Reeves,Estados Unidos,7.9,195573
Matrix Reloaded,2003,138,Ciencia ficción,Lilly Wachowski,"Lilly Wachowski,",Keanu Reeves,Estados Unidos,6.4,85849
Matrix Revolutions,2003,130,Ciencia ficción,Lilly Wachowski,"Lilly Wachowski,",Keanu Reeves,Estados Unidos,6.0,115273
Matthias & Maxime,2019,120,Drama,Xavier Dolan,Xavier Dolan,Xavier Dolan,Canadá,6.4,2024
"Maudie, el color de la vida",2016,115,Drama,Aisling Walsh,Aisling Walsh,Ethan Hawke,Canadá,7.0,4459
Maurice,1987,140,Romance,James Ivory,James Ivory,Hugh Grant,Reino Unido,7.0,2230
Maverick,1994,129,Western,Richard Donner,Richard Donner,Mel Gibson,Estados Unidos,6.1,18432
Max Manus,2008,118,Drama,Joachim Rønning,"Joachim Rønning,",Aksel Hennie,Noruega,6.2,1453
"May, ¿quieres ser mi amigo?",2002,95,Terror,Lucky McKee,Lucky McKee,Angela Bettis,Estados Unidos,5.9,3875
Mayo de 1940,2015,114,Drama,Christian Carion,Christian Carion,August Diehl,Francia,6.3,1186
Mañana empieza todo,2016,115,Comedia,Hugo Gélin,Hugo Gélin,Omar Sy,Francia,6.3,5665
McFarland,2015,124,Drama,Niki Caro,Niki Caro,Kevin Costner,Estados Unidos,6.3,3059
Me llaman Radio,2003,109,Drama,Michael Tollin,Michael Tollin,Cuba Gooding Jr.,Estados Unidos,6.4,8343
Mean Machine (Jugar duro),2001,98,Comedia,Barry Skolnick,Barry Skolnick,Vinnie Jones,Reino Unido,5.8,5292
Medianeras,2011,94,Comedia,Gustavo Taretto,Gustavo Taretto,Pilar López de Ayala,Argentina,6.7,4470
Medianoche en el jardín del bien y del mal,1997,155,Thriller,Clint Eastwood,Clint Eastwood,John Cusack,Estados Unidos,6.8,16786
Mediterráneo,1991,90,Comedia,Gabriele Salvatores,Gabriele Salvatores,Claudio Bigagli,Italia,7.0,7276
Mediterráneo,2021,112,Drama,Marcel Barrena,Marcel Barrena,Eduard Fernández,España,6.0,3161
Meek's Cutoff,2010,104,Western,Kelly Reichardt,Kelly Reichardt,Michelle Williams,Estados Unidos,6.6,2051
Megamind,2010,96,Animación,Tom McGrath,Tom McGrath, ,Estados Unidos,6.4,17088
Megan Leavey,2017,116,Drama,Gabriela Cowperthwaite,Gabriela Cowperthwaite,Kate Mara,Estados Unidos,5.9,1021
Mejor solo que mal acompañado,1987,100,Comedia,John Hughes,John Hughes,Steve Martin,Estados Unidos,6.0,5626
Mejor... imposible,1997,138,Comedia,James L. Brooks,James L. Brooks,Jack Nicholson,Estados Unidos,7.6,133590
Melancolía,2011,136,Drama,Lars von Trier,Lars von Trier,Kirsten Dunst,Dinamarca,6.8,31625
Melanie. The Girl With All the Gifts,2016,111,Ciencia ficción,Colm McCarthy,Colm McCarthy,Sennia Nanua,Reino Unido,6.0,6450
Melinda y Melinda,2004,100,Comedia,Woody Allen,Woody Allen,Radha Mitchell,Estados Unidos,6.7,21485
Melodía de seducción,1989,110,Intriga,Harold Becker,Harold Becker,Al Pacino,Estados Unidos,6.4,5733
Memento,2000,115,Thriller,Christopher Nolan,Christopher Nolan,Guy Pearce,Estados Unidos,7.9,147075
Memoria,2021,136,Drama,Apichatpong Weerasethakul,Apichatpong Weerasethakul,Tilda Swinton,Colombia,6.4,1203
Memorias de Queens,2006,98,Drama,Dito Montiel,Dito Montiel,Shia LaBeouf,Estados Unidos,6.6,5712
Memorias de una geisha,2005,145,Romance,Rob Marshall,Rob Marshall,Zhang Ziyi,Estados Unidos,6.9,50823
Memorias de África,1985,160,Romance,Sydney Pollack,Sydney Pollack,Bill Murray,Estados Unidos,7.4,63850
Memories,1995,113,Animación,Katsuhiro Ōtomo,"Katsuhiro Ōtomo,", ,Japón,7.2,3714
Memories of Murder (Crónica de un asesino en serie),2003,130,Intriga,Bong Joon-ho,Bong Joon-ho,Song Kang-ho,Corea del Sur,7.6,23453
Memphis Belle,1990,101,Bélico,Michael Caton-Jones,Michael Caton-Jones,Matthew Modine,Reino Unido,6.3,3019
Men in Black (Hombres de negro),1997,98,Ciencia ficción,Barry Sonnenfeld,Barry Sonnenfeld,Tommy Lee Jones,Estados Unidos,6.2,139810
Mensaka,1998,105,Drama,Salvador García Ruiz,Salvador García Ruiz,Gustavo Salmerón,España,6.1,3918
Mentes brillantes,2018,92,Drama,Thomas Lilti,Thomas Lilti,Vincent Lacoste,Francia,5.9,1072
Mentes peligrosas,1995,99,Drama,John N. Smith,John N. Smith,Michelle Pfeiffer,Estados Unidos,5.9,21301
Mentiras arriesgadas,1994,141,Acción,James Cameron,James Cameron,Arnold Schwarzenegger,Estados Unidos,6.3,38195
Mephisto,1981,135,Drama,István Szabó,István Szabó,Klaus Maria Brandauer,Hungría,7.1,1219
Mesrine: Parte 1. Instinto de muerte,2008,113,Thriller,Jean-François Richet,Jean-François Richet,Vincent Cassel,Francia,6.8,3059
Mesrine: Parte 2. Enemigo público nº 1,2008,133,Thriller,Jean-François Richet,Jean-François Richet,Vincent Cassel,Francia,6.8,2488
Metro Manila,2013,114,Thriller,Sean Ellis,Sean Ellis,Jake Macapagal,Reino Unido,7.0,4433
Metrópolis,2001,109,Animación,Rintaro,Rintaro, ,Japón,6.9,6083
Mi Idaho privado,1991,104,Drama,Gus Van Sant,Gus Van Sant,River Phoenix,Estados Unidos,6.7,16321
Mi amor,2015,116,Drama,Maïwenn,Maïwenn,Emmanuelle Bercot,Francia,6.4,1715
Mi cena con André,1981,110,Drama,Louis Malle,Louis Malle,Wallace Shawn,Estados Unidos,7.3,1839
Mi chica,1991,102,Drama,Howard Zieff,Howard Zieff,Macaulay Culkin,Estados Unidos,6.3,21776
Mi hermano es hijo único,2007,100,Drama,Daniele Luchetti,Daniele Luchetti,Elio Germano,Italia,6.7,2737
Mi hermosa lavandería,1985,95,Drama,Stephen Frears,Stephen Frears,Daniel Day-Lewis,Reino Unido,6.2,4246
Mi hija Hildegart,1977,109,Drama,Fernando Fernán Gómez,Fernando Fernán Gómez,Amparo Soler Leal,España,6.3,1198
"Mi hija, mi hermana",2015,100,Drama,Thomas Bidegain,Thomas Bidegain,François Damiens,Francia,6.2,1483
Mi mapa del mundo,1999,125,Drama,Scott Elliott,Scott Elliott,Sigourney Weaver,Estados Unidos,6.0,2159
Mi mejor amigo,2006,94,Comedia,Patrice Leconte,Patrice Leconte,Daniel Auteuil,Francia,6.1,3165
Mi mejor enemigo,2005,100,Drama,Alex Bowen,Alex Bowen,Erto Pantoja,Chile,6.7,1415
Mi nombre es Harvey Milk,2008,128,Drama,Gus Van Sant,Gus Van Sant,Sean Penn,Estados Unidos,7.0,32308
Mi nombre es Joe,1998,105,Drama,Ken Loach,Ken Loach,Peter Mullan,Reino Unido,7.2,5012
Mi nombre es Khan,2010,160,Romance,Karan Johar,Karan Johar,Shahrukh Khan,India,7.0,7002
Mi nombre es Ninguno,1973,107,Western,Tonino Valerii,Tonino Valerii,Terence Hill,Italia,6.0,1935
Mi novia es un zombie,1994,100,Terror,Michele Soavi,Michele Soavi,Rupert Everett,Italia,6.0,2013
Mi obra maestra,2018,100,Comedia,Gastón Duprat,Gastón Duprat,Guillermo Francella,Argentina,6.5,2898
Mi pie izquierdo,1989,103,Drama,Jim Sheridan,Jim Sheridan,Daniel Day-Lewis,Irlanda,7.5,15500
Mi policía,2022,113,Romance,Michael Grandage,Michael Grandage,Harry Styles,Reino Unido,6.1,1138
Mi primo Vinny,1992,116,Comedia,Jonathan Lynn,Jonathan Lynn,Joe Pesci,Estados Unidos,6.1,3962
Mi querido Frankie,2004,102,Drama,Shona Auerbach,Shona Auerbach,Emily Mortimer,Reino Unido,7.0,2162
Mi refugio,2009,90,Drama,François Ozon,François Ozon,Isabelle Carré,Francia,6.0,1656
Mi semana con Marilyn,2011,101,Drama,Simon Curtis,Simon Curtis,Jennifer Jason Leigh,Canadá,6.2,12583
Mi tío Frank,2020,94,Drama,Alan Ball,Alan Ball,Paul Bettany,Estados Unidos,6.8,3494
Mi vida,1993,114,Drama,Bruce Joel Rubin,Bruce Joel Rubin,Michael Keaton,Estados Unidos,5.9,2494
Mi vida como un perro,1985,101,Drama,Lasse Hallström,Lasse Hallström,Pierre Blaise,Francia,7.1,1804
Mi vida con Amanda,2018,107,Drama,Mikhaël Hers,Mikhaël Hers,Vincent Lacoste,Francia,6.4,1246
Mi vida con John F. Donovan,2018,123,Drama,Xavier Dolan,Xavier Dolan,Kit Harington,Canadá,5.9,1071
Mi vida sin mí,2003,106,Drama,Isabel Coixet,Isabel Coixet,Sarah Polley,España,7.6,58685
Mia madre,2015,102,Drama,Nanni Moretti,Nanni Moretti,Margherita Buy,Italia,6.5,2486
Michael Clayton,2007,119,Thriller,Tony Gilroy,Tony Gilroy,George Clooney,Estados Unidos,6.3,21817
Michael Collins,1996,132,Drama,Neil Jordan,Neil Jordan,Helena Bonham Carter,Reino Unido,6.7,9424
Micmacs,2009,105,Comedia,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Dany Boon,Francia,6.5,6899
Middle Men,2009,105,Drama,George Gallo,George Gallo,Luke Wilson,Estados Unidos,6.2,2227
Midnight Special,2016,111,Ciencia ficción,Jeff Nichols,Jeff Nichols,Michael Shannon,Estados Unidos,5.8,7508
Midnight in Paris,2011,96,Comedia,Woody Allen,Woody Allen,Sandrine Bonnaire,Francia,7.3,79456
Midsommar,2019,145,Terror,Ari Aster,Ari Aster,Florence Pugh,Estados Unidos,6.3,26900
Midway,2019,138,Bélico,Roland Emmerich,Roland Emmerich,Josh Hutcherson,Francia,5.8,6900
Miedo y asco en Las Vegas,1998,118,Comedia,Terry Gilliam,Terry Gilliam,Johnny Depp,Estados Unidos,6.8,56986
Miel,2010,100,Drama,Semih Kaplanoglu,Semih Kaplanoglu,Bora Altas,Turquía,6.3,1137
Mientras duermes,2011,107,Thriller,Jaume Balagueró,Jaume Balagueró,Luis Tosar,España,7.0,49802
Mientras dure la guerra,2019,103,Drama,Alejandro Amenábar,Alejandro Amenábar,Karra Elejalde,España,6.8,26191
Mientras nieva sobre los cedros,1999,126,Romance,Scott Hicks,Scott Hicks,Ethan Hawke,Estados Unidos,6.3,1783
Mifune,1999,98,Drama,Søren Kragh-Jacobsen,Søren Kragh-Jacobsen,Iben Hjejle,Dinamarca,7.0,1586
Mil veces buenas noches,2013,117,Drama,Erik Poppe,Erik Poppe,Juliette Binoche,Noruega,6.4,2418
Miles Ahead,2015,100,Drama,Don Cheadle,Don Cheadle,Garrett Wareing,Estados Unidos,5.8,1822
Millennium 2: La chica que soñaba con una cerilla y un bidón de gasolina,2009,129,Thriller,Daniel Alfredson,Daniel Alfredson,Noomi Rapace,Suecia,5.9,19246
Millennium 3: La reina en el palacio de las corrientes de aire,2009,148,Thriller,Daniel Alfredson,Daniel Alfredson,Michael Nyqvist,Suecia,6.3,13716
Millennium Mambo,2001,101,Romance,Hou Hsiao-Hsien,Hou Hsiao-Hsien,Shu Qi,Taiwán,6.7,1715
Millennium: Los hombres que no amaban a las mujeres,2009,145,Thriller,Niels Arden Oplev,Niels Arden Oplev,Michael Nyqvist,Suecia,6.7,44684
Millennium: Los hombres que no amaban a las mujeres,2011,158,Thriller,David Fincher,David Fincher,Daniel Craig,Estados Unidos,7.0,36828
Million Dollar Baby,2004,132,Drama,Clint Eastwood,Clint Eastwood,Clint Eastwood,Estados Unidos,8.0,166227
Millones,2004,98,Drama,Danny Boyle,Danny Boyle,Alex Etel,Reino Unido,6.3,5169
Milou en mayo,1990,108,Comedia,Louis Malle,Louis Malle,Bill Murray,Estados Unidos,7.1,1035
Mimosas,2016,96,Drama,Oliver Laxe,Oliver Laxe,Ahmed Hammoud,España,6.1,1537
Minari. Historia de mi familia,2020,115,Drama,Lee Isaac Chung,Lee Isaac Chung,Steven Yeun,Estados Unidos,6.7,8746
Mind Game,2004,105,Animación,Masaaki Yuasa,Masaaki Yuasa, ,Japón,7.5,2149
Mindscape,2013,95,Thriller,Jorge Dorado,Jorge Dorado,Mark Strong,España,5.9,8862
Minority Report,2002,144,Ciencia ficción,Steven Spielberg,Steven Spielberg,Tom Cruise,Estados Unidos,6.9,85829
"Mirai, mi hermana pequeña",2018,100,Animación,Mamoru Hosoda,Mamoru Hosoda, ,Japón,6.5,2756
Mis vecinos los Yamada,1999,104,Animación,Isao Takahata,Isao Takahata, ,Japón,6.5,2222
Misericordia (Los casos del Departamento Q),2013,97,Intriga,Mikkel Nørgaard,Mikkel Nørgaard,Nikolaj Lie Kaas,Dinamarca,6.5,5555
Misery,1990,104,Terror,Rob Reiner,Rob Reiner,Kathy Bates,Estados Unidos,7.5,40727
Mishima: Una vida en cuatro capítulos,1985,115,Drama,Paul Schrader,Paul Schrader,Ken Ogata,Estados Unidos,7.0,1909
Misión Imposible: Nación Secreta,2015,131,Acción,Christopher McQuarrie,Christopher McQuarrie,Tom Cruise,Estados Unidos,6.3,23230
Misión imposible,1996,110,Acción,Brian De Palma,Brian De Palma,Tom Cruise,Estados Unidos,6.3,104651
Misión imposible: Fallout,2018,147,Thriller,Christopher McQuarrie,Christopher McQuarrie,Tom Cruise,Estados Unidos,6.6,19232
Misión imposible: Protocolo fantasma,2011,127,Acción,Brad Bird,Brad Bird,Tom Cruise,Estados Unidos,6.1,34485
Miss Violence,2013,99,Drama,Alexandros Avranas,Alexandros Avranas,Themis Panou,Grecia,6.7,1636
Miss you already (Ya te extraño),2015,112,Drama,Catherine Hardwicke,Catherine Hardwicke,Drew Barrymore,Reino Unido,6.1,1478
Missing,2023,111,Thriller,Nicholas D. Johnson,"Nicholas D. Johnson,",Storm Reid,Estados Unidos,6.4,1109
Missing (Desaparecido),1982,122,Drama,Costa-Gavras,Costa-Gavras,Jack Lemmon,Estados Unidos,7.8,15009
Missouri,1976,126,Western,Arthur Penn,Arthur Penn,Marlon Brando,Estados Unidos,6.0,1210
Mister Lonely,2007,112,Drama,Harmony Korine,Harmony Korine,Diego Luna,Reino Unido,6.3,1044
Misterioso asesinato en Manhattan,1993,104,Comedia,Woody Allen,Woody Allen,Diane Keaton,Estados Unidos,7.8,45407
"Mo' better blues (Cuanto más, ¡mejor!)",1990,120,Drama,Spike Lee,Spike Lee,Denzel Washington,Estados Unidos,6.6,1844
Modelo 77,2022,125,Drama,Alberto Rodríguez,Alberto Rodríguez,Miguel Herrán,España,7.0,13496
Modigliani,2004,128,Drama,Mick Davis,Mick Davis,Andy García,Reino Unido,6.0,1424
"Moll Flanders, el coraje de una mujer",1996,123,Drama,Pen Densham,Pen Densham,Robin Wright,Estados Unidos,5.9,3033
Molly's Game,2017,141,Drama,Aaron Sorkin,Aaron Sorkin,Jessica Chastain,Estados Unidos,6.8,19519
Mommy,2014,139,Drama,Xavier Dolan,Xavier Dolan,Jane Adams,Estados Unidos,7.4,16715
Mona Lisa,1986,100,Thriller,Neil Jordan,Neil Jordan,Bob Hoskins,Reino Unido,6.7,1891
Moneyball: Rompiendo las reglas,2011,133,Drama,Bennett Miller,Bennett Miller,Brad Pitt,Estados Unidos,6.7,37015
Mongol,2007,126,Drama,Sergey Bodrov,Sergey Bodrov,Tadanobu Asano,Kazajstán,6.4,10644
